exercise,session_id,num_reps,interval_slope,emg_amplitude_trend,emg_freq_trend,eda_trend,avg_interval
Benchpress,2,12,0.010052544420415806,-6.143691406709179e-06,0.08877840909090928,7.431149892779898e-11,1.9662444158033892
Benchpress,3,12,0.038496654683893385,1.0980841091146778e-05,-0.017755681818181587,2.590254332473311e-10,2.0496375127272173
Benchpress,4,10,0.03587235609690359,6.328463914294066e-06,-5.338541666666664,1.6533076549027717e-10,2.3189792368147106
Benchpress,6,10,0.03732794125874835,7.121664275175584e-06,-5.468749999999997,8.68048684235289e-10,2.4311932457817926
Pullups,1,10,0.004609310626983829,-9.86748646311242e-07,-4.264322916666665,2.817916651936104e-10,3.561630778842502
Pullups,2,10,0.043803544839223406,-5.062907582675787e-07,0.06510416666666698,6.13670975011124e-10,3.435195551978217
Pullups,3,11,0.09178845521175508,1.1089864026670564e-05,-1.207386363636363,1.2398451145971445e-09,3.7451027154922487
Pullups,4,9,-0.020350887661888237,-2.2391617381859855e-05,0.44642857142857145,3.588530111937096e-10,3.4985644221305847
Pullups,5,10,0.07531424760818492,7.617540173341548e-06,-0.4557291666666667,3.179335886872105e-11,3.639397806591458
Squat,2,11,-0.17617745254978964,4.5126992268073826e-08,0.3551136363636359,2.3960775541482238e-11,3.4336626529693604
Squat,3,10,0.03579388856887819,2.174150169291602e-07,1.00911458333334,1.7626929857280742e-11,2.6072303454081216
Squat,4,10,-0.017104395230610966,2.460823301563527e-07,1.0091145833333308,-2.7633044873947736e-11,2.5464841524759927
Squat,5,10,0.024690310160319112,-4.1431608521666807e-07,-1.4322916666666652,-5.345526829091434e-12,2.585688167148166
Squat,6,10,0.016137862205505366,5.502651723141536e-07,-6.184895833333326,2.753458193204887e-10,2.6172235276963978
